TOD,TRD,Flight Level,Track No.,XPos,YPos,3D Height
30944,20,NP,294,-23.109375,-68.992188,3124.2
30951,20,NP,294,-22.640625,-68.1875,3078.48
30959,20,NP,294,-22.03125,-67.421875,3383.28
30967,20,NP,294,-21.523438,-66.632813,3230.88
30975,20,NP,294,-21.03125,-65.828125,3360.42
30983,0,NP,294,-20.492188,-65.039063,3299.46
30991,20,NP,294,-19.859375,-64.273438,3124.2
30999,20,NP,294,-19.390625,-63.460938,3002.28
31007,20,NP,294,-19.007813,-62.617188,2910.84
31015,20,NP,294,-18.296875,-61.875,2834.64
31023,20,NP,294,-17.75,-61.078125,3131.82
31031,20,NP,294,-17.296875,-60.242188,3040.38
31039,20,NP,294,-16.75,-59.453125,2918.46
31047,20,NP,294,-16.171875,-58.671875,3124.2
31055,20,NP,294,-15.648438,-57.867188,3345.18
31063,20,NP,294,-15.109375,-57.0625,3383.28
31071,20,NP,294,-14.539063,-56.3125,3459.48
31079,20,NP,294,-13.9375,-55.578125,3497.58
14.09555556,20,NP,294,-13.296875,-54.867188,3520.44
31095,20,NP,294,-12.664063,-54.15625,3512.82
31103,20,NP,294,-12.03125,-53.445313,3627.12
31111,20,NP,294,-11.40625,-52.726563,3817.62
31119,20,NP,294,-10.742188,-52.015625,3787.14
31127,20,NP,294,-10.070313,-51.3125,3688.08
31135,20,NP,294,-9.335938,-50.632813,3413.76
31143,20,NP,294,-8.6875,-49.929688,3337.56
31151,20,NP,294,-8.015625,-49.234375,3406.14
31159,20,NP,294,-7.335938,-48.523438,3634.74
31167,20,NP,294,-6.625,-47.8125,3695.7
31175,20,NP,294,-6.03125,-47.09375,3528.06
31183,20,NP,294,-5.414063,-46.367188,3642.36
31191,20,NP,294,-4.757813,-45.65625,3710.94
31199,0,NP,294,-4.101563,-44.945313,3733.8
31207,20,NP,294,-3.492188,-44.226563,3497.58
31215,0,NP,294,-2.851563,-43.515625,3482.34
31223,20,NP,294,-2.210938,-42.804688,3398.52
31231,20,NP,294,-1.679688,-42.09375,3398.52
31239,20,NP,294,-1.101563,-41.382813,3329.94
31247,20,NP,294,-0.507813,-40.671875,3451.86
31254,20,NP,294,0.140625,-39.960938,3566.16
31262,20,NP,294,0.84375,-39.257813,3421.38
31270,20,NP,294,1.554688,-38.546875,3383.28
31278,20,NP,294,2.210938,-37.835938,3368.04
31286,20,NP,294,2.835938,-37.125,3345.18
31294,20,NP,294,3.492188,-36.421875,3261.36
31302,20,NP,294,4.140625,-35.703125,3276.6
31310,20,NP,294,4.820313,-34.976563,3108.96
31318,20,NP,294,5.453125,-34.265625,2819.4
31326,20,NP,294,6.09375,-33.554688,2209.8
31334,20,NP,294,6.757813,-32.820313,2247.9
31342,20,NP,294,7.414063,-32.078125,2232.66
31350,20,NP,294,8.078125,-31.34375,2331.72
31358,20,NP,294,8.601563,-30.703125,2461.26
31366,20,NP,294,9.453125,-30.023438,2727.96
31374,20,NP,294,10.265625,-29.429688,2019.3
31382,20,NP,294,11.109375,-28.8125,3398.52
31390,20,NP,294,11.914063,-28.195313,4282.44
31398,20,NP,294,12.710938,-27.585938,5006.34
31406,20,NP,294,13.492188,-26.984375,5631.18
31414,20,NP,294,14.265625,-26.398438,5958.84
31421,20,NP,294,15.0625,-25.804688,6141.72
31429,20,NP,294,15.851563,-25.203125,6240.78
31437,20,NP,294,16.648438,-24.578125,6324.6
31445,20,NP,294,17.445313,-23.96875,6370.32
31453,20,NP,294,18.242188,-23.3125,6766.56
31461,20,NP,294,19.023438,-22.703125,6728.46
31469,20,NP,294,19.773438,-22.109375,6728.46
31477,20,NP,294,20.53125,-21.507813,6751.32
31485,20,NP,294,21.304688,-20.890625,6697.98
31493,20,NP,294,22.109375,-20.234375,6652.26
31501,20,NP,294,22.875,-19.625,6652.26
31509,20,NP,294,23.65625,-19,6644.64
31517,20,NP,294,24.40625,-18.390625,6682.74
31525,20,NP,294,25.171875,-17.773438,6720.84
31533,20,NP,294,25.9375,-17.148438,6751.32
31541,20,NP,294,26.703125,-16.515625,6789.42
31549,20,NP,294,27.476563,-15.84375,6903.72
31557,20,NP,294,28.226563,-15.210938,6964.68
31565,20,NP,294,28.96875,-14.59375,7040.88
31572,20,NP,294,29.742188,-13.929688,7094.22
31588,20,NP,294,31.320313,-12.578125,7284.72
31596,20,NP,294,32.101563,-11.921875,7429.5
31604,20,NP,294,32.898438,-11.265625,7437.12
